08/11/24 22:40:12 Training initiated with the following parameters:
Model Parameters: (('in_channels', 1), ('hidden_channels', 32), ('out_channels', 64), ('conv_kernel_size', 5), ('pool_kernel_size', 2), ('pool_stride', 2), ('dropout', 0.5), ('leak', 0.4), ('input_size', 8192))

08/11/24 22:40:13 (0m 00s) | [1/6] Batch 0 (0.681s) | LR: 0.0001 | Loss: 1.4186 | Abs. Loss: 1.42
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 1 (0.014s) | LR: 0.0001 | Loss: 1.7662 | Abs. Loss: 3.18
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 2 (0.019s) | LR: 0.0001 | Loss: 1.3392 | Abs. Loss: 4.52
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 3 (0.019s) | LR: 0.0001 | Loss: 1.3103 | Abs. Loss: 5.83
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 4 (0.018s) | LR: 0.0001 | Loss: 1.2813 | Abs. Loss: 7.12
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 5 (0.018s) | LR: 0.0001 | Loss: 1.2876 | Abs. Loss: 8.40
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 6 (0.016s) | LR: 0.0001 | Loss: 1.3417 | Abs. Loss: 9.75
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 7 (0.018s) | LR: 0.0001 | Loss: 1.2280 | Abs. Loss: 10.97
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 8 (0.018s) | LR: 0.0001 | Loss: 1.3374 | Abs. Loss: 12.31
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 9 (0.018s) | LR: 0.0001 | Loss: 1.3809 | Abs. Loss: 13.69
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 10 (0.019s) | LR: 0.0001 | Loss: 1.1730 | Abs. Loss: 14.86
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 11 (0.018s) | LR: 0.0001 | Loss: 1.2146 | Abs. Loss: 16.08
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 12 (0.017s) | LR: 0.0001 | Loss: 1.2661 | Abs. Loss: 17.34
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 13 (0.018s) | LR: 0.0001 | Loss: 1.1986 | Abs. Loss: 18.54
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 14 (0.018s) | LR: 0.0001 | Loss: 1.3502 | Abs. Loss: 19.89
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 15 (0.017s) | LR: 0.0001 | Loss: 1.2861 | Abs. Loss: 21.18
08/11/24 22:40:13 (0m 01s) | [1/6] Batch 16 (0.017s) | LR: 0.0001 | Loss: 1.2892 | Abs. Loss: 22.47
08/11/24 22:40:14 (0m 01s) | [1/6] Batch 17 (0.018s) | LR: 0.0001 | Loss: 1.2304 | Abs. Loss: 23.70
08/11/24 22:40:14 (0m 01s) | [1/6] Batch 18 (0.017s) | LR: 0.0001 | Loss: 1.2778 | Abs. Loss: 24.98
08/11/24 22:40:14 (0m 01s) | [1/6] Batch 19 (0.020s) | LR: 0.0001 | Loss: 1.1903 | Abs. Loss: 26.17
08/11/24 22:40:14 (0m 01s) | [1/6] Batch 20 (0.017s) | LR: 0.0001 | Loss: 1.1912 | Abs. Loss: 27.36
